#;German;English;German example sentence;English translation;Category;Masri;Gender;Conjugation;English in sentence;_1;_2;_3
1979;langweilen;to bore;Der Film langweilt mich.;The movie bores me.;verb;يملّ;;langweilt;bores;;;
1980;Reaktion;reaction;Seine Reaktion war überraschend.;His reaction was surprising.;noun;رد فعل;f;;reaction;;;
1981;Indianer;Native American;Er war echt als Indianer verkleidet.;He was really dressed as a Native American.;noun;هنود حُمر;m;;Native American;;;
1982;Studium;studies/university program;Sie fängt im Oktober mit dem Studium an.;She starts her studies in October.;noun;دراسة جامعية;n;;studies;;;
1983;weigert;refuses;Er weigert sich immer noch zu helfen.;He still refuses to help.;verb;بيرفض;;weigert;refuses;;;
1984;Prügel;beating;Er bekam Prügel von seinem Vater.;He got a beating from his father.;noun;ضرب;m;;beating;;;
1985;internet;internet;Das Internet ist heute langsam.;The internet is slow today.;noun;إنترنت;n;;internet;;;
1986;vermeiden;to avoid;Du musst Fehler vermeiden.;You must avoid mistakes.;verb;يتجنب;;;avoid;;;
1987;intelligent;intelligent;Sie ist echt intelligent.;She is really intelligent.;adjective;ذكي;;;intelligent;;;
1988;halle;hall;Wir treffen uns in der großen Halle.;We meet in the big hall.;noun;صالة;f;;hall;;;
1989;Klo;toilet (slang);Ich muss aufs Klo.;I need to go to the toilet.;noun;حمّام (عامية);n;;toilet;;;
1990;irgend;some/any (indefinite);Hast du irgend eine Idee?;Do you have any idea?;vocab;أيّ / كده;;;any;;;
1991;verdacht;suspicion;Er steht unter Verdacht.;He is under suspicion.;noun;شك / اشتباه;m;;suspicion;;;
1992;Unglück;misfortune/accident;Zum Glück ging das Unglück glimpflich aus.;Fortunately, the accident ended lightly.;noun;مصيبة / حادث;n;;accident;;;
1993;notwendig;essential /necessary (formal);Das ist absolut notwendig.;That is absolutely necessary.;adjective;ضروري;;;necessary;;;
1994;ablenken;to distract;Lass dich nicht ablenken.;Don’t let yourself get distracted.;verb;يشتّت;;;distracted;;;
1995;Stimmung;atmosphere / mood;Die Stimmung war echt super.;The mood was really great.;noun;مود / جو;f;;mood;;;
1996;Sara;Sara;Sara kommt morgen.;Sara is coming tomorrow.;noun;سارة;;;Sara;;;
1997;Höhle;cave;Wir haben eine Höhle entdeckt.;We discovered a cave.;noun;كهف;f;;cave;;;
1998;Mai;May;Im Mai wird es warm.;It gets warm in May.;noun;مايو;m;;May;;;
1999;Tyler;Tyler;Tyler ist mein Freund.;Tyler is my friend.;noun;تايلر;;;Tyler;;;
2000;bewacht;guarded;Das Gebäude wird bewacht.;The building is being guarded.;verb;محروس;;;guarded;;;
2001;Konto;account;Ich habe ein neues Konto eröffnet.;I opened a new account.;noun;حساب (بنك);n;;account;;;
2002;zentrale;central / headquarters;Ich nehme lieber die zentrale Option.;I'd rather take the central option.;adjective;مركزيّة;;;central;;;
2003;quälen;to torture/torment;Hör auf, mich zu quälen!;Stop tormenting me!;verb;يعذّب;;;tormenting;;;
2004;Truck;truck;Der Truck ist echt riesig.;The truck is really huge.;noun;شاحنة / تراك;m;;truck;;;
2005;bedanken;to thank;Ich möchte mich bedanken.;I would like to thank you.;verb;يشكر;;;thank;;;
2006;Methode;method;Das ist eine wirklich gute Methode.;That's a really good method.;noun;طريقة;f;;method;;;
2007;April;April;Im April beginnt der Frühling.;Spring begins in April.;noun;أبريل;m;;April;;;
2008;Fabrik;factory;Mein Vater arbeitet in einer Fabrik.;My father works in a factory.;noun;مصنع;f;;factory;;;
2009;vereinigten;united;Ich komme aus den Vereinigten Staaten.;I come from the United States.;adjective;المتحدة;;;United;;;
2010;Rakete;rocket;Die Rakete startet gleich.;The rocket is about to launch.;noun;صاروخ;f;;rocket;;;
2011;Mexiko;Mexico;Er reist nach Mexiko.;He is traveling to Mexico.;noun;المكسيك;n;;Mexico;;;
2012;faul;lazy;Ich bin heute faul.;I'm lazy today.;adjective;كسلان;;;lazy;;;
2013;Caroline;Caroline;Caroline kommt später.;Caroline is coming later.;noun;كارولين;;;Caroline;;;
2014;Eva;Eva;Eva hat angerufen.;Eva called.;noun;إيفا;;;Eva;;;
2015;zeichnen;to draw;Ich zeichne gern.;I like to draw.;verb;يرسم;;zeichne;draw;;;
2016;seil;rope;Das Seil ist echt zu kurz.;The rope is really too short.;noun;حبل;n;;rope;;;
2017;Antrag;application/request;Ich habe einen Antrag gestellt.;I submitted an application.;noun;طلب;m;;application;;;
2018;Gegner;opponent/enemy;Er ist echt mein stärkster Gegner.;He is really my strongest opponent.;noun;خصم;m;;opponent;;;
2019;füttern;to feed;Ich muss die Katze füttern.;I have to feed the cat.;verb;يأكّل;;;feed;;;
2020;klage;lawsuit/complaint;Sie hat wirklich eine Klage eingereicht.;She really filed a lawsuit.;noun;شكوى / دعوى;f;;lawsuit;;;
2021;Jäger;hunter;Der Jäger verfolgt das Reh.;The hunter is tracking the deer.;noun;صيّاد;m;;hunter;;;
2022;Gouverneur;governor;Der Gouverneur hält eine Rede.;The governor is giving a speech.;noun;حاكم;m;;governor;;;
2023;Marshall;marshal;Der Marshall kommt in die Stadt.;The marshal is coming to town.;noun;مارشال;m;;marshal;;;
2024;Identität;identity;Seine Identität ist unbekannt.;His identity is unknown.;noun;هوية;f;;identity;;;
2025;Magen;stomach;Mein Magen tut weh.;My stomach hurts.;noun;معدة;m;;stomach;;;
2026;osten;east;Im Osten geht die Sonne auf.;The sun rises in the east.;noun;الشرق;m;;east;;;
2027;gehorchen;to obey;Du musst den Regeln gehorchen.;You must obey the rules.;verb;يطيع;;;obey;;;
2028;zurückgeben;to give back;Kannst du mir das Buch zurückgeben?;Can you give me the book back?;verb;يرجع / يردّ;;;give;;;
2029;Scheidung;divorce;Die Scheidung war echt schwierig.;The divorce was really difficult.;noun;طلاق;f;;divorce;;;
2030;spenden;to donate;Ich möchte Blut spenden.;I want to donate blood.;verb;يتبرّع;;;donate;;;
2031;begeben;to proceed / go;Wir sollten uns zum Ausgang begeben.;We should proceed to the exit.;verb;يذهب / يتوجّه (رسمي);;;proceed;;;
2032;Vorfall;incident;Der Vorfall wurde gerade untersucht.;The incident was investigated just now.;noun;حادثة;m;;incident;;;
2033;raub;robbery;Der Raub war echt gut geplant.;The robbery was really well planned.;noun;سرقة بالعنف;m;;robbery;;;
2034;diamanten;diamonds;Die Diamanten wurden gerade gestohlen.;The diamonds were stolen just now.;noun;ألماس;m;;diamonds;;;
2035;Zuschauer;spectators/audience;Die Zuschauer jubeln.;The spectators are cheering.;noun;متفرجين;m;;spectators;;;
2036;Krankenwagen;ambulance;Der Krankenwagen ist gerade unterwegs.;The ambulance is on the way right now.;noun;إسعاف;m;;ambulance;;;
2037;Satz;sentence/set;Der Satz ist echt schwer.;The sentence is really difficult.;noun;جملة;m;;sentence;;;
2038;arrangiert;arranged;Das Treffen wurde arrangiert.;The meeting was arranged.;verb;مرتّب / مدبّر;;;arranged;;;
2039;heftig;intense/violent;Das war echt heftig.;That was really intense.;adjective;شديد / جامد;;;intense;;;
2040;zauber;magic;Ein bisschen Zauber schadet nie.;A little magic never hurts.;noun;سحر;m;;magic;;;
2041;zurecht;properly/in the right way;Du kommst schon zurecht.;You’ll manage just fine.;adverb;صح / مضبوط;;;manage;;;
2042;Realität;reality (factual / formal);Das ist echt die harte Realität.;This is really the harsh reality.;noun;واقع;f;;reality;;;
2043;Verletzungen;injuries;Er hat schwere Verletzungen.;He has serious injuries.;noun;إصابات;f;;injuries;;;
2044;Kreatur;creature;Die Kreatur kroch aus der Höhle.;The creature crawled out of the cave.;noun;مخلوق;f;;creature;;;
2045;abgelaufen;expired;Die Milch ist echt abgelaufen.;The milk is really expired.;verb;انتهت صلاحيته / خلص;;;expired;;;
2046;Ursache;cause;Die Ursache ist echt unbekannt.;The cause is really unknown.;noun;سبب;f;;cause;;;
2047;Behandlung;treatment;Die Behandlung dauert eine Woche.;The treatment lasts one week.;noun;علاج;f;;treatment;;;
2048;ausgesetzt;exposed / abandoned;Das Baby wurde ausgesetzt.;The baby was abandoned.;adjective;معرّض / اتساب;;;abandoned;;;
2049;Besitzer;owner;Er ist echt der Besitzer des Hauses.;He is really the owner of the house.;noun;مالك;m;;owner;;;
2050;Wissenschaftler;scientist;Der Wissenschaftler forscht an Krebs.;The scientist researches cancer.;noun;عالم;m;;scientist;;;
2051;Affäre;affair;Er hatte eine Affäre.;He had an affair.;noun;علاقة / فضيحة;f;;affair;;;
2052;Sophie;Sophie;Sophie kommt später.;Sophie is coming later.;noun;صوفي;;;Sophie;;;
2053;diskutieren;to depate /discuss;Lass uns darüber diskutieren.;Let's discuss it.;verb;يناقش;;;discuss;;;
2054;Verstärkung;reinforcement;Wir brauchen Verstärkung!;We need reinforcements!;noun;تعزيزات;f;;reinforcements;;;
2055;italienisch;Italian;Ich liebe italienisch essen.;I love eating Italian food.;vocab;إيطالي;;;Italian;;;
2056;anstrengend;exhausting;Das Training heute war sehr anstrengend.;Today’s workout was very exhausting.;vocab;متعب;;;exhausting;;;
2057;Jagd;hunt;Die Jagd begann früh am Morgen.;The hunt started early in the morning.;vocab;صيد / مطاردة;;;hunt;;;
2058;bezweifle;doubt that;Ich bezweifle, dass er kommt.;I doubt that he will come.;verb;بشك / مش مقتنع;;;doubt that;;;
2059;Revier;territory;Der Hund verteidigt sein Revier.;The dog defends its territory.;vocab;منطقة نفوذ;;;territory;;;
2060;Mitarbeiter;employee;Die Mitarbeiter sind echt alle freundlich.;The employees are really all friendly.;vocab;موظف;;;employees;;;
2061;Sarg;coffin;Der Sarg wurde gerade langsam getragen.;The coffin was carried slowly just now.;vocab;تابوت;;;coffin;;;
2062;Einfluss;influence;Er hat großen Einfluss auf mich.;He has a big influence on me.;vocab;تأثير;;;influence;;;
2063;Dosis;dose;Die Dosis war echt zu hoch.;The dose was really too high.;vocab;جرعة;;;dose;;;
2064;unterlagen;papers / documents / materials;Hast du die Unterlagen dabei?;Do you have the documents with you?;vocab;مستندات;;;documents;;;
2065;friedlich;peaceful;Das Dorf ist echt friedlich.;The village is really peaceful.;vocab;مسالم;;;peaceful;;;
2066;Kommissar;commissioner;Der Kommissar untersucht den Fall.;The commissioner is investigating the case.;vocab;مفتّش / كوميسير;;;commissioner;;;
2067;eintreten;to enter;Bitte eintreten!;Please come in!;verb;يدخل / يحصل;;;come in;;;
2068;verzichten;to give up;Ich kann nicht auf Kaffee verzichten.;I can’t give up coffee.;verb;يستغنى;;;give up;;;
2069;Franzosen;French (people);Die Franzosen haben wirklich eine tolle Küche.;The French really have great cuisine.;vocab;الفرنسيين;;;French;;;
2070;unangenehm;unpleasant;Das war echt eine unangenehme Situation.;That was really an unpleasant situation.;vocab;مش مريح / سخيف;;;unpleasant;;;
2071;Zucker;sugar;Ich nehme keinen Zucker im Tee.;I don't take sugar in my tea.;vocab;سكر;;;sugar;;;
2072;abgesagt;canceled;Das Treffen wurde abgesagt.;The meeting was canceled.;vocab;اتلغى;;;canceled;;;
2073;verprügelt;beaten up;Er wurde gerade auf der Straße verprügelt.;He was beaten up on the street just now.;verb;اتضرب جامد;;;beaten up;;;
2074;Studenten;students;Die Studenten lernen für die Prüfung.;The students are studying for the exam.;vocab;طلاب جامعة;;;students;;;
2075;Hafen;harbor;Das Schiff liegt im Hafen.;The ship is in the harbor.;vocab;مينا;;;harbor;;;
2076;männlich;male;Das Tier ist echt männlich.;The animal is really male.;vocab;ذكَر / رجالي;;;male;;;
2077;aufgrund;due to;Aufgrund des Wetters bleiben wir zuhause.;Due to the weather, we stay home.;prep;بسبب;;;Due to;;;
2078;marine;navy / marine;Er arbeitet in der Marine.;He works in the navy.;vocab;بحرية;;;navy;;;
2079;Sand;sand;Der Sand ist heute sehr heiß.;The sand is very hot today.;vocab;رمل;;;sand;;;
2080;Milliarden;billions;Die Firma verdient jedes Jahr Milliarden.;The company earns billions every year.;vocab;مليارات;;;billions;;;
2081;spuck;spit;Spuck das sofort aus!;Spit that out right now!;verb;بصاق;;;Spit;;;
2082;Schreibtisch;desk;Mein Schreibtisch ist immer unordentlich.;My desk is always messy.;vocab;مكتب;;;desk;;;
2083;stattdessen;instead;Lass uns stattdessen zu Hause bleiben.;Let's stay home instead.;adverb;بدل كده;;;instead;;;
2084;Staatsanwalt;prosecutor;Der Staatsanwalt hat neue Beweise.;The prosecutor has new evidence.;vocab;وكيل نيابة;;;prosecutor;;;
2085;Klamotten;clothes;Deine Klamotten sehen cool aus.;Your clothes look cool.;vocab;هدوم (عامية);;;clothes;;;
2086;flammen;flames;Die Flammen wurden gerade schnell größer.;The flames grew quickly just now.;vocab;لهب;;;flames;;;
2087;operieren;operate (surgery);Der Arzt muss ihn morgen operieren.;The doctor has to operate on him tomorrow.;verb;يعمل عملية;;;operate;;;
2088;einziehen;move in;Wir ziehen nächste Woche ein.;We’ll move in next week.;verb;ينقل يسكن / يسحب;;ziehen;move in;;;
2089;Spieler;player;Der Spieler hat drei Tore geschossen.;The player scored three goals.;vocab;لاعب;;;player;;;
2090;dünn;thin;Das Buch ist ziemlich dünn.;The book is quite thin.;adjective;رفيع / نحيف;;;thin;;;
2091;Wissenschaft;science;Die Wissenschaft entwickelt sich ständig weiter.;Science is constantly evolving.;vocab;علم;;;Science;;;
2092;vermasselt;messed up;Ich habe die Prüfung total vermasselt.;I totally messed up the exam.;verb;بوّظ / لخبط;;;messed up;;;
2093;viertel;quarter;Ein Viertel der Klasse war echt krank.;A quarter of the class was really sick.;vocab;ربع / حيّ;;;quarter;;;
2094;attraktiv;attractive;Sie findet ihn echt attraktiv.;She finds him really attractive.;adjective;جذّاب;;;attractive;;;
2095;belästigen;bother / harass;Hör auf, mich zu belästigen.;Stop bothering me.;verb;يضايق / يتحرّش;;;bothering;;;
2096;sinnlos;pointless;Diese Diskussion ist völlig sinnlos.;This discussion is completely pointless.;adjective;ملوش معنى;;;pointless;;;
2097;vertreten;represent;Er wird die Firma im Meeting vertreten.;He will represent the company in the meeting.;verb;يمثّل;;;represent;;;
2098;Veränderung;change;Die Veränderung tut uns allen gut.;The change is good for all of us.;vocab;تغيير;;;change;;;
2099;Verabredung;appointment / date;Ich habe heute Abend eine Verabredung.;I have a date tonight.;vocab;ميعاد;;;date;;;
2100;Ticket;ticket;Hast du schon ein Ticket gekauft?;Did you already buy a ticket?;vocab;تذكرة;;;ticket;;;
2101;Diener;servant;Der Diener öffnete die Tür.;The servant opened the door.;vocab;خادم;;;servant;;;
2102;brutal;brutal;Der Film war echt ziemlich brutal.;The movie was really quite brutal.;adjective;وحشي;;;brutal;;;
2103;Bedrohung;threat;Die Bedrohung wurde gerade ernst genommen.;The threat was taken seriously just now.;vocab;تهديد;;;threat;;;
2104;Kanone;cannon/gun;Die alte Kanone steht im Museum.;The old cannon stands in the museum.;vocab;مدفع;;;cannon;;;
2105;einsteigen;to get in/board;Bitte schnell einsteigen!;Please get in quickly!;verb;يركب;;;get in;;;
2106;kontaktieren;to contact;Du kannst mich jederzeit kontaktieren.;You can contact me anytime.;verb;يتواصل;;;contact;;;
2107;Verfügung;disposal;Er steht dir jederzeit zur Verfügung.;He is always at your disposal.;vocab;تصرّف / تحت التصرف;;;disposal;;;
2108;stattfinden;to take place;Das Konzert findet morgen statt.;The concert takes place tomorrow.;verb;يحصل / يتم;;statt;takes place;;;
2109;hustet;coughs;Er hustet seit gestern stark.;He’s been coughing heavily since yesterday.;verb;بيكحّ;;;coughing;;;
2110;wayne;"(slang: ""don’t care"")";Ist mir völlig wayne.;I totally don’t care.;slang;واين;;;don’t care;;;
2111;erweisen;to prove/show;Er hat sich als loyal erwiesen.;He proved himself loyal.;verb;يثبت / يقدّم;;erwiesen;proved;;;
2112;segeln;to sail;Wir gehen im Sommer segeln.;We’re going sailing in summer.;verb;يبحر;;;sailing;;;
2113;Tour;tour;Die Band startet eine neue Tour.;The band is starting a new tour.;vocab;جولة;;;tour;;;
2114;außergewöhnlich;extraordinary;Das war ein außergewöhnlicher Moment.;That was an extraordinary moment.;adjective;استثنائي;;;extraordinary;;;
2115;brüllt;yells/roars;Er brüllt vor Wut.;He yells in anger.;verb;بيزعق;;;yells;;;
2116;Gesundheit;health;Deine Gesundheit ist echt wichtiger als alles.;Your health is really more important than anything.;vocab;صحة;;;health;;;
2117;Titten;tits (vulgar);Er starrte auf ihre Titten.;He stared at her tits.;vocab/vulgar;صدر / بزاز (عامية);;;tits;;;
